Code,Course,Sec,Description,Mode of,Book,HR,CR,Days,Time,Room,Professor
,,,,,,,,TH,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TH,09:10-10:00,HN  C114,"Morelli, Danielle"
,,,,,,,,TH,14:00-17:00,HN  812,
352,BIOL 102.00,12,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TH,17:35-18:50,HN ASSEM,"Morelli, Danielle"
,,,,,,,,TH,09:10-10:00,HN  C114,"Chatterjee, Amrita"
,,,,,,,,TH,14:00-17:00,HN  815,
5422,BIOL 102.00,YA1,Principles Of Biol 2,In-Person,,7,4.5,TU,17:35-18:50,HN ASSEM,"Peng, Cheng"
,,,,,,,,TH,17:35-18:50,HN ASSEM,"Petrillo, Adrienne"
,,,,,,,,TH,09:10-10:00,HN  C114,"Morelli, Danielle"
,,,,,,,,TH,14:00-17:00,HN  812,
363,BIOL 122.00,1,Anatomy & Physiol 2,In-Person,,6,4.5,M,09:10-13:00,BC  W205,"Jansen, Marlon"
,,,,,,,,TU,16:10-17:25,HN ASSEM,"Zhu, Tianhui"
,,,,,,,,TH,16:10-17:25,HN ASSEM,
364,BIOL 122.00,2,Anatomy & Physiol 2,In-Person,,6,4.5,TU,09:10-13:00,BC  W205,"Lempert, Eugene"
,,,,,,,,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
,,,,,,,,TH,16:10-17:25,HN ASSEM,
365,BIOL 122.00,3,Anatomy & Physiol 2,In-Person,,6,4.5,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
,,,,,,,,W,09:10-13:00,BC  W205,"Kiprowska, Magdalena"
,,,,,,,,TH,16:10-17:25,HN ASSEM,
366,BIOL 122.00,4,Anatomy & Physiol 2,In-Person,,6,4.5,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
,,,,,,,,TH,09:10-13:00,BC  W205,"Martinez, Francisco"
,,,,,,,,TH,16:10-17:25,HN ASSEM,
367,BIOL 122.00,5,Anatomy & Physiol 2,In-Person,,6,4.5,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
,,,,,,,,TH,16:10-17:25,HN ASSEM,"Wang, Hu"
,,,,,,,,F,09:10-13:00,BC  W205,
368,BIOL 122.00,6,Anatomy & Physiol 2,In-Person,,6,4.5,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
,,,,,,,,TH,16:10-17:25,HN ASSEM,"Wang, Hu"
,,,,,,,,SA,10:10-14:00,BC  W205,
369,BIOL 122.00,7,Anatomy & Physiol 2,In-Person,,6,4.5,TU,16:10-17:25,HN ASSEM,"Jansen, Marlon"
